"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"JACK-PLUG2";"SPC4078_BIG_HOLES";"J1";"DC POWER JACK";"";
"3";"";"M02PTH";"1X02";"J5, J6, SW";"Header 2";"";
"1";"";"M03PTH";"1X03";"JP3";"Header 3";"";
"1";"";"M06SIP";"1X06";"J4";"Header 6";"";
"2";"1.0k";"R-US_0204/7";"0204/7";"R11, R18";"RESISTOR, American symbol";"";
"1";"100k";"R-US_0204/7";"0204/7";"R14";"RESISTOR, American symbol";"";
"16";"100n";"C-US025-025X050";"C025-025X050";"C5, C7, C8, C9, C14, C16, C17, C18, C23, C24, C26, C28, C29, C31, C33, C35";"CAPACITOR, American symbol";"";
"3";"100p";"C-US025-025X050";"C025-025X050";"C6, C10, C13";"CAPACITOR, American symbol";"";
"1";"100u";"CPOL-USE2.5-6";"E2,5-6";"C2";"POLARIZED CAPACITOR, American symbol";"";
"2";"100u";"CPOL-USE2.5-7";"E2,5-7";"C11, C12";"POLARIZED CAPACITOR, American symbol";"";
"12";"10k";"R-US_0204/7";"0204/7";"R6, R15, R16, R19, R27, R28, R29, R30, R36, R37, R38, R39";"RESISTOR, American symbol";"";
"2";"10kA";"POT_USCABLED";"CABLE_POT_6MM";"R1, R2";"";"";
"1";"10p";"C-US025-025X050";"C025-025X050";"C3";"CAPACITOR, American symbol";"";
"1";"10u";"CPOL-USE2.5-5";"E2,5-5";"C1";"POLARIZED CAPACITOR, American symbol";"";
"1";"150k";"R-US_0204/7";"0204/7";"R23";"RESISTOR, American symbol";"";
"3";"18k";"R-US_0204/7";"0204/7";"R4, R8, R21";"RESISTOR, American symbol";"";
"1";"1M";"R-US_0204/7";"0204/7";"R9";"RESISTOR, American symbol";"";
"1";"1N4001";"1N4004";"DO41-10";"D1";"DIODE";"";
"4";"1n";"C-2.5-5/2";"C2.5/5-2";"C25, C27, C32, C34";"CAPACITOR";"";
"3";"2.2k";"R-US_0204/7";"0204/7";"R7, R20, R24";"RESISTOR, American symbol";"";
"1";"20k";"R-TRIMM3296X";"RTRIM3296X";"R33";"Trimm resistor";"";
"6";"220";"R-US_0204/7";"0204/7";"R5, R17, R31, R32, R34, R35";"RESISTOR, American symbol";"";
"2";"220n";"C-US025-025X050";"C025-025X050";"C15, C19";"CAPACITOR, American symbol";"";
"2";"220u";"CPOL-USE5-10.5";"E5-10,5";"C20, C30";"POLARIZED CAPACITOR, American symbol";"";
"4";"2N3906";"2N3906-";"TO92-";"Q1, Q2, Q3, Q4";"PNP Transistor";"";
"1";"330k";"R-US_0204/7";"0204/7";"R12";"RESISTOR, American symbol";"";
"1";"33k";"R-US_0204/7";"0204/7";"R13";"RESISTOR, American symbol";"";
"3";"4.7u";"CPOL-USE2.5-6";"E2,5-6";"C4, C21, C22";"POLARIZED CAPACITOR, American symbol";"";
"1";"47k";"R-US_0204/7";"0204/7";"R22";"RESISTOR, American symbol";"";
"1";"68";"R-US_0204/7";"0204/7";"R3";"RESISTOR, American symbol";"";
"1";"7805";"78XXS";"78XXS";"IC9";"VOLTAGE REGULATOR";"";
"1";"7905";"79XXS";"79XXS";"IC5";"VOLTAGE REGULATOR";"";
"3";"DNP";"R-US_0204/2V";"0204V";"R10, R25, R26";"RESISTOR, American symbol";"";
"3";"LM13700N";"LM13700N";"DIL16";"IC3, IC6, IC8";"Dual OTA with buffers";"";
"1";"LT1054";"DIL8";"DIL08";"IC1";"Dual In Line / Socket";"";
"3";"M01PTH";"M01PTH";"1X01";"JP1, JP2, JP4";"Header 1";"";
"2";"MONOSWS";"MONOSWS";"NMJ4HC-S";"J2, J3";"";"";
"1";"TL072P";"TL072P";"DIL08";"IC2";"OP AMP";"";
"2";"TL074P";"TL084P";"DIL14";"IC4, IC7";"OP AMP";"";
